family,config_id,stage,entry_point,backbone,varied_params,wall_clock_sec,platform,gpu,pytorch,cuda,coverage_status,notes,user_sec,sys_sec,max_rss_kb,exit_code,cuda_visible_devices,cuda_available,cuda_device_count
Shared backbone,shared_ce_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=4,58.95,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,78.71,22.35,1566180,0,1,True,1
Shared backbone,shared_arcface_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=0; margin=0.5,57.42,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,98.18,40.04,1899216,0,1,True,1
Shared backbone,shared_arcface_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=1; margin=0.5,65.70,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,105.89,40.54,1902256,0,1,True,1
Shared backbone,shared_arcface_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=2; margin=0.5,66.11,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,107.11,40.52,1912804,0,1,True,1
Shared backbone,shared_arcface_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=3; margin=0.5,74.27,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,114.90,40.65,1865988,0,1,True,1
Shared backbone,shared_arcface_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=4; margin=0.5,86.80,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,127.58,40.88,1885816,0,1,True,1
Shared backbone,shared_simclr_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=0,109.25,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,143.00,102.47,2109720,0,1,True,1
Shared backbone,shared_simclr_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=1,119.71,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,157.10,110.24,2119816,0,1,True,1
Shared backbone,shared_simclr_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=2,120.72,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,156.83,105.37,2123588,0,1,True,1
Shared backbone,shared_simclr_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=3,133.91,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,171.00,106.47,2087144,0,1,True,1
Shared backbone,shared_simclr_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=4,154.54,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,197.51,114.88,2105648,0,1,True,1
Shared backbone,shared_simsiam_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=0,104.32,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,135.40,82.01,2027832,0,1,True,1
Shared backbone,shared_simsiam_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=1,118.33,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,146.57,82.84,2030600,0,1,True,1
Shared backbone,shared_simsiam_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=2,119.60,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,147.38,82.28,2034512,0,1,True,1
Shared backbone,shared_simsiam_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=3,132.99,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,166.41,91.24,2001592,0,1,True,1
Shared backbone,shared_simsiam_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=4,151.18,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,182.75,85.10,2019192,0,1,True,1
