"family","config_id","stage","entry_point","backbone","varied_params","wall_clock_sec","platform","gpu","pytorch","cuda","coverage_status","notes"
"Shared backbone","shared_sep_lite2","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=sep_direct; lite_index=2","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_sep_lite3","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=sep_direct; lite_index=3","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_sep_lite4","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=sep_direct; lite_index=4","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ce_lite0","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_ce; lite_index=0","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ce_lite1","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_ce; lite_index=1","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ce_lite2","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_ce; lite_index=2","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ce_lite3","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_ce; lite_index=3","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ce_lite4","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_ce; lite_index=4","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_arcface_lite0","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_arcface; lite_index=0; margin=0.5","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_arcface_lite1","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_arcface; lite_index=1; margin=0.5","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_arcface_lite2","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_arcface; lite_index=2; margin=0.5","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_arcface_lite3","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_arcface; lite_index=3; margin=0.5","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_arcface_lite4","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=classification_arcface; lite_index=4; margin=0.5","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simclr_lite0","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simclr; lite_index=0","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simclr_lite1","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simclr; lite_index=1","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simclr_lite2","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simclr; lite_index=2","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simclr_lite3","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simclr; lite_index=3","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simclr_lite4","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simclr; lite_index=4","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simsiam_lite0","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simsiam; lite_index=0","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simsiam_lite1","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simsiam; lite_index=1","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simsiam_lite2","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simsiam; lite_index=2","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simsiam_lite3","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simsiam; lite_index=3","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_simsiam_lite4","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=simsiam; lite_index=4","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
